,YEAR,MONTH,DAY
600,1912,8,22
601,1912,8,23
602,1912,8,24
603,1912,8,25
604,1912,8,26
605,1912,8,27
606,1912,8,28
607,1912,8,29
608,1912,8,30
609,1912,8,31
610,1912,9,1
611,1912,9,2
612,1912,9,3
613,1912,9,4
614,1912,9,5
615,1912,9,6
616,1912,9,7
617,1912,9,8
618,1912,9,9
619,1912,9,10
620,1912,9,11
621,1912,9,12
622,1912,9,13
623,1912,9,14
624,1912,9,15
625,1912,9,16
626,1912,9,17
627,1912,9,18
628,1912,9,19
629,1912,9,20
630,1912,9,21
631,1912,9,22
632,1912,9,23
633,1912,9,24
634,1912,9,25
635,1912,9,26
636,1912,9,27
637,1912,9,28
638,1912,9,29
639,1912,9,30
640,1912,10,1
641,1912,10,2
642,1912,10,3
643,1912,10,4
644,1912,10,5
645,1912,10,6
646,1912,10,7
647,1912,10,8
648,1912,10,9
649,1912,10,10
650,1912,10,11
651,1912,10,12
652,1912,10,13
653,1912,10,14
654,1912,10,15
655,1912,10,16
656,1912,10,17
657,1912,10,18
658,1912,10,19
659,1912,10,20
660,1912,10,21
661,1912,10,22
662,1912,10,23
663,1912,10,24
664,1912,10,25
665,1912,10,26
666,1912,10,27
667,1912,10,28
668,1912,10,29
669,1912,10,30
670,1912,10,31
671,1912,11,1
672,1912,11,2
673,1912,11,3
674,1912,11,4
675,1912,11,5
676,1912,11,6
677,1912,11,7
678,1912,11,8
679,1912,11,9
680,1912,11,10
681,1912,11,11
682,1912,11,12
683,1912,11,13
684,1912,11,14
685,1912,11,15
686,1912,11,16
687,1912,11,17
688,1912,11,18
689,1912,11,19
690,1912,11,20
691,1912,11,21
692,1912,11,22
693,1912,11,23
694,1912,11,24
695,1912,11,25
696,1912,11,26
697,1912,11,27
698,1912,11,28
699,1912,11,29
700,1912,11,30
701,1912,12,1
702,1912,12,2
703,1912,12,3
704,1912,12,4
705,1912,12,5
706,1912,12,6
707,1912,12,7
708,1912,12,8
709,1912,12,9
710,1912,12,10
711,1912,12,11
712,1912,12,12
713,1912,12,13
714,1912,12,14
715,1912,12,15
716,1912,12,16
717,1912,12,17
718,1912,12,18
719,1912,12,19
720,1912,12,20
721,1912,12,21
722,1912,12,22
723,1912,12,23
724,1912,12,24
725,1912,12,25
726,1912,12,26
727,1912,12,27
728,1912,12,28
729,1912,12,29
730,1912,12,30
731,1912,12,31
732,1913,1,1
733,1913,1,2
734,1913,1,3
735,1913,1,4
736,1913,1,5
737,1913,1,6
738,1913,1,7
739,1913,1,8
740,1913,1,9
741,1913,1,10
742,1913,1,11
743,1913,1,12
744,1913,1,13
745,1913,1,14
746,1913,1,15
747,1913,1,16
748,1913,1,17
749,1913,1,18
750,1913,1,19
751,1913,1,20
752,1913,1,21
753,1913,1,22
754,1913,1,23
755,1913,1,24
756,1913,1,25
757,1913,1,26
758,1913,1,27
759,1913,1,28
760,1913,1,29
761,1913,1,30
762,1913,1,31
763,1913,2,1
764,1913,2,2
765,1913,2,3
766,1913,2,4
767,1913,2,5
768,1913,2,6
769,1913,2,7
770,1913,2,8
771,1913,2,9
772,1913,2,10
773,1913,2,11
774,1913,2,12
775,1913,2,13
776,1913,2,14
777,1913,2,15
778,1913,2,16
779,1913,2,17
780,1913,2,18
781,1913,2,19
782,1913,2,20
783,1913,2,21
784,1913,2,22
785,1913,2,23
786,1913,2,24
787,1913,2,25
788,1913,2,26
789,1913,2,27
790,1913,2,28
791,1913,3,1
792,1913,3,2
793,1913,3,3
794,1913,3,4
795,1913,3,5
796,1913,3,6
797,1913,3,7
798,1913,3,8
799,1913,3,9
800,1913,3,10
801,1913,3,11
802,1913,3,12
803,1913,3,13
804,1913,3,14
805,1913,3,15
806,1913,3,16
807,1913,3,17
808,1913,3,18
809,1913,3,19
810,1913,3,20
811,1913,3,21
812,1913,3,22
813,1913,3,23
814,1913,3,24
815,1913,3,25
816,1913,3,26
817,1913,3,27
818,1913,3,28
819,1913,3,29
820,1913,3,30
821,1913,3,31
822,1913,4,1
823,1913,4,2
824,1913,4,3
825,1913,4,4
826,1913,4,5
827,1913,4,6
828,1913,4,7
829,1913,4,8
830,1913,4,9
831,1913,4,10
832,1913,4,11
833,1913,4,12
834,1913,4,13
835,1913,4,14
836,1913,4,15
837,1913,4,16
838,1913,4,17
839,1913,4,18
840,1913,4,19
841,1913,4,20
842,1913,4,21
843,1913,4,22
844,1913,4,23
845,1913,4,24
846,1913,4,25
847,1913,4,26
848,1913,4,27
849,1913,4,28
850,1913,4,29
851,1913,4,30
852,1913,5,1
853,1913,5,2
854,1913,5,3
855,1913,5,4
856,1913,5,5
857,1913,5,6
858,1913,5,7
859,1913,5,8
860,1913,5,9
861,1913,5,10
862,1913,5,11
863,1913,5,12
864,1913,5,13
865,1913,5,14
